ID #,Category,Type,Gender,Location (Gym/Home/Hybrid),Equipment,Movement,Description,Video Name,Vidio URL
44,Upper body,Resistance,Both,Hybrid,Barbell,Bend/Pull,"start with barbell at waste held with arms should width apart and bend at waiste pushing your hips backwards, keeping your back straight and rise back to starting position and repeat",barbell Romanian Dead Lift,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=barbell+RDL+.mp4
45,Upper body,Resistance,Both,Hybrid,Barbell,Push,"Stand with a slight bend in your knees, start with barbell at top of chest, push straight up until arms are fully extended and return to starting position, repeat",barbell shoulder press,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=barbell+shoulder+press.mp4
46,Upper body,Resistance,Both,Hybrid,Bench/box,Push,"With feet on floor lower yourself to bench/box holding yourself up with your hands shoulder width apart and push up until arms are fully extend and return to starting position, repeat",bench push ups,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=bench+push+ups+.mp4
47,Upper body,Resistance,Both,Hybrid,Bench/box,Push,"With feet on bench/box lower your upper body to floor with hands shoulder width apart and arms fully extended, take one hand off the ground and tap opposite shoulder and return hand to starting position, alternate hands and repeat",bench shoulder taps,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=bench+shoulder+taps+.mp4
48,Upper body,Resistance,Both,Hybrid,Bench/box,Push,"Sitting on a bench/box placeyour hands at your sides, move hips forward and extend legs straight, lower hips down until arms are at 90 degrees and push up unitl arms are fully extended",bench tricep dips,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=bench+tricep+dips+.mp4
49,Upper body,Resistance,Both,Hybrid,Bosu Ball,Push,"With flat surface of bosu ball on floor place both hands on middle of ball, lower chest to ball and push back up to arms are fully extended, repeat",bosu ball push ups,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=bosu+ball+push+ups+.mp4
50,Upper body,Resistance,Both,Hybrid,Bench/box,Push,"Place both hands on edge of bench/box with hands shoulder width apart and push as hard as possible so hands come off of bench/box, catching yourself on edge of bench/box and lower yourself back to starting position, repeat without a pause",box explosive push ups,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=box+explosive+push+ups+.mp4
51,Upper body,Resistance,Both,Hybrid,Bench/box,Push,"Place both hands on edge of bench/box with hands shoulder width apart and push up and lower yourself back to starting, repeat",box push ups,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=box+push+ups+.mp4
52,Upper body,Resistance,Both,Hybrid,Bench/dumbbells,Push,"Start with dumbells at chest shoulder width apart, fully extend arms, lower weight half way, extend arms fully again and lower weight back to chest, repeat",dumbbell 1.5 chest press,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=db+1.5+chest+press.mp4
53,Upper body,Resistance,Both,Hybrid,Bench/dumbbells,Push,"Start with dumbells in extended arm position shoulder width apart, fully lower one arm at a time down to chest and raise weight back to extended positoin, repeat with opposite arm",dumbbell alt chest press,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=db+alt+chest+press.mp4
54,Upper body,Resistance,Both,Hybrid,Bench/dumbbells,Pulling,"With one knee and one hand on the bench and opposite leg extended out for balance and your back flat. Dumbell starts with arm extended, raise up to your side and lower back down, repeat",dumbbell bench row,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=db+bench+row+.mp4
55,Upper body,Resistance,Both,Hybrid,Bench/dumbbells,Pulling,"With one knee and one hand on the bench and opposite leg extended out for balance and your back flat. Dumbell starts with arm extended, raise up to your side, pause for 3 seconds and lower back down, repeat",dumbbell bench pause row,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=db+bench+pause+row.mp4
56,Upper body,Resistance,Both,Hybrid,Bench/dumbbells,Pulling/Swing,"With one knee and one hand on the bench and opposite leg extended out for balance and your back flat. Dumbell starts with arm extended, raise dumbbell controlled with a straight arm past hip and lower back down, repeat",dumbbell bench swing back,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=db+bench+swing+back+.mp4
57,Upper body,Resistance,Both,Hybrid,Bench/dumbbells,Pushing,"With one knee and one hand on the bench and opposite leg extended out for balance and your back flat. Dumbell starts with arm against side, raise dumbbell controlled from a bent arm position to a straight arm past hip and lower back down, repeat",dumbbell bench tricep kick back,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=db+bench+tricep+kick+back+.mp4
58,Upper body,Resistance,Both,Hybrid,Bench/dumbbells,Pulling,"Lying on back on the bench , extend arms with dumbbells to full arm extension, with a slight bend in arms lower weight to the side until level with chest and raise back to starting position, repeat",dumbbell chest fly,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=db+chest+fly+.mp4
59,Upper body,Resistance,Both,Hybrid,Bench/dumbbells,Push,"Lying on back on the bench , extend arms with dumbbells to full arm extension, with a slight bend in arms lower weight down to sides until level with chest and raise back to starting position, repeat",dumbbell chest press,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=db+chest+press+.mp4
60,Upper body,Resistance,Both,Hybrid,Bench/dumbbells,Push,"Lying on back on the bench with bench raise to an incline postion, extend arms with dumbbells to full arm extension, with a slight bend in arms lower weight down to sides until level with chest and raise back to starting position, repeat",dumbbell incline bench press,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=db+incline+bench+press.mp4
61,Upper body,Resistance,Both,Hybrid,Bench/dumbbells,Pulling,"Lying on back on the bench with bench in inclined positin, extend arms with dumbbells to full arm extension, with a slight bend in arms lower weight to the side until level with chest and raise back to starting position, repeat",dumbbell incline chest fly,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=db+incline+chest+fly+.mp4
62,Upper body,Resistance,Both,Hybrid,Bench/dumbbells,Pulling,"Lying on chst on the bench with bench in inclined positin, extend arms with dumbbells to full arm extension towards floor, with a slight bend in arms raise weight  up towards ceiling and lower back to starting position, repeat",dumbbell incline front raise,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=db+incline+front+raise+.mp4
63,Upper body,Resistance,Both,Hybrid,Bench/dumbbells,Push,"Lying on back on the bench with bench raise to an incline postion, extend arms with dumbbells to full arm extension, with a slight bend in arms lower weight down to sides until level with chest, pause 3 seconds and raise back to starting position, repeat",dumbbell incline pause chest press,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=db+incline+pause+chest+press+.mp4
64,Upper body,Resistance,Both,Hybrid,Bench/dumbbells,Pulling,"Sitting on bench in reverse position. with seat raised in an incline position. Dumbell starts with arm extended, raise up to your side, pause for 3 seconds and lower back down, repeat",dumbbell incline pause row,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=db+incline+pause+row+.mp4
65,Upper body,Resistance,Both,Hybrid,Bench/dumbbells,Pulling,"Sitting on bench in reverse position. with seat raised in an incline position. Dumbell starts with arm extended, raise up with straight arms to the side and lower back down to starting position, repeat",dumbbell incline reverse fly,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=db+incline+reverse+fly+.mp4
66,Upper body,Resistance,Both,Hybrid,Bench/dumbbells,Pulling,"Sitting on bench in reverse position. with seat raised in an incline position. Dumbell starts with arm extended, raise up to your side and lower back down, repeat",dumbbell incline row,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=db+incline+row+.mp4
67,Upper body,Resistance,Both,Hybrid,Bench/dumbbells,Push,"Sitting on bench with back on the bench with bench in inclined positin, bend arms so dumbbells are at side of head, extend arms without moving shoulder position, return back to starting position, repeat",dumbbell incline skull crushers,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=db+incline+skull+crushers.mp4
68,Upper body,Resistance,Both,Hybrid,Bench/dumbbells,Push,"Lying on back on the bench with bench raise to a flat postion, extend arms with dumbbells to full arm extension, with a slight bend in arms lower weight down to sides until level with chest, pause 3 seconds and raise back to starting position, repeat",DumbBell pause chest press,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=DB+pause+chest+press+.mp4
69,Upper body,Resistance,Both,Hybrid,Bench/dumbbells,Push,"Sitting on bench, start with dumbbells at shoulder, push straight up until arms are fully extended and lower the weight slowly, return to starting position, repeat",dumbbell seated eccentric shoulder press,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=db+seated+eccentric+shoulder+press.mp4
70,Upper body,Resistance,Both,Hybrid,Bench/dumbbells,Pulling,"Sitting on bench, start with dumbbells at your side, raise weight from side up until arms are at shoulder height and return to starting position, repeat",dumbbell seated shoulder fly,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=db+seated+shoulder+fly+.mp4
71,Upper body,Resistance,Both,Hybrid,Bench/dumbbells,Push,"Sitting on bench, start with dumbbells at shoulder, push straight up until arms are fully extended and lower weight, return to starting position, repeat",dumbbell seated shoulder press,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=db+seated+shoulder+press+.mp4
72,Upper body,Resistance,Both,Hybrid,Bench/Dumbells,Push,"Sitting on bench with back on the bench with bench in a flay position, bend arms so dumbbells are at side of head, extend arms without moving shoulder position, return back to starting position, repeat",dumbbell skull crushers,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=db+skull+crushers+.mp4
73,Upper body,Resistance,Both,Hybrid,Bench/weights,Pull,"Sitting on bench in reverse position. with seat raised in an incline position. Weighted plate starts with arm extended, raise up with straight infront of you making an I postion, lower back down to starting position, then raise next rep like a Y shape movement, lower back to starting position, raise third rep in a T position and return to starting position, repeat",plate incline lyt,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=plate+incline+lyt+.mp4
74,Upper body,Resistance,Both,Hybrid,Bench/weights,Push,"Sitting on bench in a reverse position on the bench with bench in inclined positin, bend arms so weights are at shoulders, extend arms without moving shoulder position in an incline position unitl arms are fully extended, return back to starting position, repeat",plate incline superman press,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=plate+incline+superman+press.mp4
75,Upper body,Resistance,Both,Hybrid,Dumbbells/band,Push,"Standing with band around wrist, start with dumbbells at side waiste height. Extend arms out to the sides to add tension to band, raise dumbbells to head height, never release the tension on the bands, return to starting position, repeat",short band Dumbbell front raise,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=short+band+DB+front+raise+.mp4
76,Upper body,Resistance,Both,Hybrid,Band,Push,"Standing with band around wrist. Extend arms out to the sides to add tension to band, raise hands to head height, never release the tension on the bands, return to starting position, repeat",short band front raise,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=short+band+front+raise.mp4
77,Upper body,Resistance,Both,Hybrid,Swiss Ball,Push,"Start in a push up positin with feet on swiss ball. lower body down until chest is almost to ground, push up to starting position, repeat.",swiss ball push ups,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=swiss+ball+push+ups+.mp4
78,Core,Calisthenics,Both,Hybrid,None,Kicking,lying on your back extend your legs straight and kick your feet up and down,bench flutter kick,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Core?preview=bench+flutter+kick+.mp4
79,Core,Calisthenics,Both,Hybrid,None,Bending,"Sitting on you tailbone, raise your legs and upper body up to make a V shape. Extend your arms out for balance and hold the position",bench frozen v sit,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Core?preview=bench+frozen+v+sit+.mp4
80,Core,Calisthenics,Both,Hybrid,Bench/box,Pushing/Isometric,"Lying on your back on the floor, place your heels on the bench/box and push your hips straight up as high as you can and hold that position",bench hamstring bridge hold,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Core?preview=bench+hamstring+bridge+hold+.mp4
81,Core,Calisthenics,Both,Hybrid,None,Push/pull,"Sitting on you tailbone, raise your legs off the ground and tuck them in to your stomach. Keeping your hands at your side for balance exrtend you legs out until fully extended and pull them back to the starting position, repeat.",bench knee tuck,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Core?preview=bench+knee+tuck+.mp4
82,Core,Calisthenics,Both,Hybrid,None,Lifting,"Lying on your back with legs fully extended pull your feet from the ground to straight above your stomach, keeoing th elegs fully extended the entire time. ",bench leg raise,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Core?preview=bench+leg+raise+.mp4
83,Core,Calisthenics,Both,Hybrid,Bench/Box,Isometric,"Putting your forearms on the bench/box with arms bent at 90 degrees, extend you legs out as far as you can holding your bodyweight up with your core muscles",bench long plank,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Core?preview=bench+long+plank+.mp4
84,Core,Calisthenics,Both,Hybrid,Bench/Box,Pulling,"Lying on your back on the bench/box using your hands for supprot above your head, pull you legs from a fully extended position up to your chest, bending the legs as they come up, repeat",bench reverse crunch,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Core?preview=bench+reverse+crunch+.mp4
85,Core,Calisthenics,Both,Hybrid,Bench/Box,Isometric,"Lying on your back on the floor, place one heel on the bench/box and push your hips straight up as high as you can, keeoing your other leg straight in the air and locked in an extended position and hold that position",bench single legged glute bridge hold,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Core?preview=bench+single+legged+glute+bridge+hold+.mp4
86,Core,Calisthenics,Both,Hybrid,Bench/Box,Push,"Lying on your back on the bench/box, with your legs to the side of the bench with feet on the floor, hands at the side of your head, sit up in a controlled manner and lower yourself back down to the starting postion, repeat.",bench sit up,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Core?preview=bench+sit+up+.mp4
87,Core,Calisthenics,Both,Hybrid,Bench/box,Lifting,"Lying on your back with legs fully extended pull your feet from the ground to straight above your stomach, lift the legs straight in the air pulling your lower back off th ebench, lowe back down to the bench, keeping the legs fully extended the entire time, raise back up, repeat. ",bench straight leg lift,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Core?preview=bench+straight+leg+lift+.mp4
88,Core,Calisthenics,Both,Hybrid,Bosu Ball,crunch,"Lying on the bosu ball on your back, with your hands at the side of your head sit up and push your elbow with the opposite knee, alterante sides each rep, repeat",bosu alt diagonal crunch,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Core?preview=bosu+alt+diagonal+crunch+.mp4
89,Core,Calisthenics,Both,Hybrid,Bosu Ball,crunch,"Lying on the bosu ball on your back, with your hands at the side of your head sit up and raise your feet touching your hands with the opposite toes, alterante sides each rep, repeat",bosu ball alt toe taps,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Core?preview=bosu+ball+alt+toe+taps+.mp4
90,Core,Calisthenics,Both,Hybrid,Bosu Ball,Crunch,"stting on the bosu ball on your tailbone, with your hands at teh side of the ball for balance, fully extend your legs while slightly leaning back with your upper body then pull your legs back into your chest while moving upper body back up to starting position, repeat.",bosu ball knee tucks,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Core?preview=bosu+ball+knee+tucks.mp4
91,Core,Calisthenics,Both,Hybrid,Bosu Ball,Running,"Hands on the opposite edges of bosu ball, fully extend your arms into a pushup position and in a running motion bring one knee up to your chest while the other foot is on the ground for support, alternate legs, repeat",bosu ball mountain climbers,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Core?preview=bosu+ball+mountain+climbers+.mp4
92,Core,Calisthenics,Both,Hybrid,Bosu Ball,Isometric,"Sit just off the centre of the bosu ball with your feet on the ground, extend your arms fully into the air and slightly lean back your upperbody, hold this position",bosu ball sit up hold,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Core?preview=bosu+ball+sit+up+hold+.mp4
